"site number","site location","Cluster","site acronym","date","sample type","conductance (uS/cm)","chl A (ug/L)","phaeophytin (ug/L)","phaeophytin chl A (ug/L)","chlorophyta (organisms/ml)","cyanophyta (organisms/ml)","bacillariophyta (organisms/ml)","total (organisms/ml)","algae comments"
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-10-14",NA,1180,4.2,1.3,3.3,0,51,86,137,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-10-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-11-15",NA,1190,1.5,1.2,0.7,4,4,41,49,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-11-15",NA,730,1.2,0,1.3,0,21,504,525,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-11-15",NA,495,4.6,2.9,2.7,7,7,489,503,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-11-15",NA,495,4.9,3.4,2.7,7,0,483,490,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-11-15",NA,1185,1.7,0.5,1.3,0,76,36,112,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-11-15",NA,1120,10,0.5,9.3,7,36,1000,1043,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-11-15",NA,1125,4.5,2.9,2.7,14,22,438,474,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-11-16",NA,705,2.6,0,3.3,0,36,79,115,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-11-16",NA,745,4.3,0,4.7,4,26,57,87,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-11-16",NA,775,2.1,0,2.7,14,129,309,452,NA
"R3","Waddell Canal","cap","waddell canal","1999-11-16",NA,690,1.4,0.1,1.3,0,0,1022,1022,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-11-16",NA,439,8.6,4.9,5.3,36,72,368,476,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-11-16",NA,432,2,1,1.3,0,58,186,244,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-11-16",NA,439,1.7,1.7,0.7,14,51,360,425,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-11-16",NA,435,1.8,0.5,1.3,28,50,503,581,NA
"field_blank","field blank",NA,NA,"1999-11-17","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-11-17","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-11-17",NA,500,4.8,4.5,2,0,0,395,395,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-11-17",NA,495,1.1,0,1.3,0,65,474,539,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"south canal shut-down"
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-11-17",NA,705,0.8,0.3,0.7,29,14,569,612,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-12-14",NA,1233,1.1,0,2,0,4,90,94,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-12-14",NA,795,1.4,0,2,0,4,153,157,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-12-14",NA,503,4,2,2.7,7,14,337,358,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-12-14",NA,520,5.5,7.1,1.3,0,7,295,302,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-12-14",NA,1230,1.1,0,2,0,11,62,73,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-12-14",NA,1225,7.2,7.6,2.7,7,14,301,322,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-12-15",NA,715,0.3,0,0.7,0,4,346,350,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-12-15",NA,755,0,0,1.3,0,4,148,152,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-12-15",NA,745,0.4,0,0.7,21,0,137,158,NA
"R3","Waddell Canal","cap","waddell canal","1999-12-15",NA,703,0,0,0,4,0,328,332,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-12-15",NA,504,15.2,4.8,12,0,14,511,525,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-12-15",NA,417,2.1,1.5,1.3,4,0,91,95,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-12-15",NA,420,4.9,6.1,1.3,0,0,266,266,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-12-15",NA,427,0.2,0.5,0,0,0,171,171,NA
"field_blank","field blank",NA,NA,"1999-12-16","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-12-16","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-12-16",NA,415,6,3,4,7,58,648,712,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-12-16",NA,420,2.8,1.3,2,0,7,517,524,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"south canal shut-down"
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-12-16",NA,655,2,1,1.3,0,0,51,51,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-01-11","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-01-11","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-01-11",NA,1145,4.8,2.3,3.3,14,7,474,495,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-01-11",NA,719,1.6,0,2,0,0,229,229,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-01-11",NA,496,4.2,2.5,2.7,0,0,265,265,"sample taken on south canal"
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"az canal shut-down"
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"az canal shut-down"
