site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,4.12,3.897,0.0547,1.4,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,3.36,3.794,0.0544,1.4,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2002,NA,1.767,1.697,0.028,1.6,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2002,NA,3.722,3.833,0.0558,1.5,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,3.452,3.466,0.0524,1.5,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,2.896,2.809,0.0334,1.2,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,3.336,3.294,0.0507,1.5,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,2.981,2.961,0.037,1.2,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,3.317,3.386,0.503,14.9,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,2.985,2.929,0.0364,1.2,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2002,NA,3.484,3.231,0.0437,1.4,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.585,0.044,1.2,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.703,0.05,1.4,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,3.782,0.043,1.1,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.765,0.0497,1.3,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.371,0.0488,1.4,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,3.376,0.0492,1.5,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,3.01,0.0256,0.9,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,4.273,0.0486,1.1,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,3.016,0.0392,1.3,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.395,0.0514,1.5,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.214,0.0518,1.6,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.608,0.0492,1.4,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,2.76,0.0365,1.3,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.197,0.0465,1.5,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.994,0.0381,1.3,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,3.901,0.0463,1.2,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,2.882,0.0391,1.4,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.275,0.0465,1.4,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.608,0.0503,1.4,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.416,0.0466,1.4,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,2.228,0.0308,1.4,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,2.075,0.0161,0.8,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,3.002,0.0343,1.1,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.687,0.02,0.7,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.425,0.0502,1.5,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.297,0.0527,1.6,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,3.468,0.0425,1.2,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.199,0.0515,1.6,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.349,0.0492,1.5,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,3.205,0.0505,1.6,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,3.078,0.0276,0.9,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,3.302,0.0513,1.6,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,3.442,0.0457,1.3,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.391,0.0524,1.5,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.31,0.0481,1.5,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.408,0.0515,1.5,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,2.716,0.0377,1.4,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.371,0.0547,1.6,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.853,0.0409,1.4,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,3.781,0.049,1.3,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,3.24,0.038,1.2,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.404,0.055,1.6,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.517,0.0524,1.5,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.301,0.0521,1.6,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,2.915,0.0315,1.1,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,19.99,0.0621,0.3,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,3.033,0.0424,1.4,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,3.012,0.0219,0.7,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.427,0.0507,1.5,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.496,0.0508,1.5,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,2.505,0.038,1.5,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.24,0.0497,1.5,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.226,0.0508,1.6,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,3.379,0.0513,1.5,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,NA,0.0326,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,3.125,0.0529,1.7,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,3.179,0.0436,1.4,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.52,0.0547,1.6,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.292,0.0492,1.5,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.273,0.0502,1.5,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,NA,0.0376,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.113,0.0488,1.6,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,NA,0.0236,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,3.213,0.0444,1.4,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,2.946,0.035,1.2,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.231,0.0522,1.6,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,4.211,0.0518,1.2,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2002,NA,NA,4.439,0.0448,1,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2002,NA,NA,3.408,0.0427,1.3,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2002,NA,NA,2.097,0.0266,1.3,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2002,NA,NA,1.734,0.0333,1.9,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,srp,saguaro-epi,2002,NA,NA,4.369,0.061,1.4,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,srp,saguaro-epi,2002,NA,NA,4.029,0.0607,1.5,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,srp,saguaro-hypo,2002,NA,NA,3.497,0.54,15.4,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.132,0.052,1.7,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,1.976,0.0281,1.4,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,2.2147,0.0171,0.8,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,3,0.0487,1.6,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.897,0.0201,0.7,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.068,0.0472,1.5,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.214,0.0477,1.5,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,2.693,0.0386,1.4,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.184,0.0467,1.5,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.507,0.0477,1.4,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,3.216,0.0459,1.4,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,2.858,0.0264,0.9,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,3.269,0.0472,1.4,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,3.112,0.043,1.4,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.315,0.0538,1.6,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.231,0.0466,1.4,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.06,0.0463,1.5,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,2.656,0.0338,1.3,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.3,NA,0,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.938,0.0331,1.1,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,3.255,0.0459,1.4,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.321,0.0475,1.4,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.409,0.0466,1.4,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.1333,0.048,1.5,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,1.668,0.0254,1.5,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,1.632,0.0156,1,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,2.959,0.0391,1.3,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.831,0.025,0.9,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.259,0.045,1.4,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.209,0.0459,1.4,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,2.132,0.035,1.6,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.124,0.0446,1.4,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.034,0.0457,1.5,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,2.941,0.047,1.6,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,2.765,0.025,0.9,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,2.905,0.0449,1.5,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,2.989,0.0424,1.4,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.404,0.0513,1.5,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.126,0.0441,1.4,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.03,0.0492,1.6,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,2.403,0.0313,1.3,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.051,0.0446,1.5,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.569,0.0331,1.3,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,2.794,0.0437,1.6,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,2.518,0.0358,1.4,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,2.941,0.0458,1.6,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.147,0.0446,1.4,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.336,0.0441,1.3,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,2.035,0.0232,1.1,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,1.874,0.0164,0.9,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,2.808,0.0415,1.5,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.731,0.0228,0.8,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.033,0.048,1.6,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.014,0.0474,1.6,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,2.396,0.035,1.5,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.51,0.0474,1.4,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.254,0.0471,1.4,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,2.981,0.0463,1.6,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,2.793,0.0233,0.8,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,3.32,0.0489,1.5,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,2.998,0.0409,1.4,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.012,0.051,1.7,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,NA,0.0452,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.255,0.0492,1.5,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,4.194,0.0322,0.8,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.116,0.0475,1.5,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.566,0.035,1.4,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,2.854,0.0417,1.5,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,2.676,0.0348,1.3,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.047,0.047,1.5,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.154,0.0472,1.5,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,1.424,0.0199,1.4,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,1.426,0.012,0.8,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,2.995,0.038,1.3,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.634,0.0204,0.8,NA,NA,NA,NA,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,NA,3.226,0.052,1.6,NA,NA,NA,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,NA,3.078,0.0497,1.6,NA,NA,NA,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,2.334,0.0369,1.6,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,NA,3.245,0.053,1.6,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2002,NA,NA,3.234,0.0529,1.6,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2002,NA,NA,3.135,0.0493,1.6,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2002,NA,NA,2.884,0.0293,1,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,NA,3.287,0.0544,1.7,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,NA,3.086,0.0449,1.5,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,NA,3.129,0.0599,1.9,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2002,NA,NA,3.157,0.0503,1.6,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,NA,3.134,0.051,1.6,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2002,NA,NA,2.567,0.0372,1.4,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,NA,3.07,0.0497,1.6,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2002,NA,NA,2.401,0.0327,1.4,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2002,NA,NA,3.4245,0.0452,1.3,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2002,NA,NA,2.67,0.0374,1.4,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,NA,3.067,0.0521,1.7,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,NA,3.124,0.0518,1.7,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,NA,3.061,0.051,1.7,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2002,NA,NA,1.484,0.0228,1.5,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2002,NA,NA,1.387,0.0161,1.2,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2002,NA,NA,3.38,0.0436,1.3,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2002,NA,NA,2.813,0.0272,1,NA,NA,NA,NA,NA,NA,NA
