site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R20ex,Verde River at Tangle,verde,verde abv horseshoe,2000,extra sample,1.092,0.953,0.0236,0.024763903,32.17,446.52,31.51,30.43,18.62,1.69226638,NA
R5ex,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,extra sample,NA,1.512,0.0421,0.027843915,NA,NA,NA,NA,NA,NA,NA
R7ex,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,extra sample,NA,2.202,0.0377,0.017120799,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2000,NA,0.859,0.558,0.0208,0.037275986,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,NA,2.75,2.672,0.0487,0.018226048,50.63,445.55,50.22,47.53,28.51,1.761487197,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,NA,2.613,2.574,0.0428,0.016627817,38.79,445.01,38.03,35.97,20.62,1.844325897,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,NA,2.6,2.435,0.0452,0.018562628,47.44,442.23,46.63,44.23,26.71,1.745788094,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,NA,2.486,2.541,0.0446,0.017552145,42.58,444.61,42.06,39.87,23.28,1.806701031,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,NA,2.613,2.655,0.0475,0.017890772,46.16,448.25,45.88,43.38,25.97,1.766653831,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2000,NA,2.619,2.811,0.0514,0.018285308,51.3,450.05,51.3,48.88,29.73,1.725529768,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,2000,field duplicate,2.733,2.893,0.052,0.017974421,51.97,447.33,50.89,48.62,29.33,1.735083532,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2000,NA,2.75,2.839,0.0499,0.017576611,52.35,448.8,52.04,49.2,29.57,1.759891782,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,NA,2.501,2.648,0.0435,0.016427492,38.49,448,37.98,35.69,20.73,1.832127352,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2000,NA,2.873,2.827,0.0415,0.014679873,32.84,450.71,32.78,30.62,17.86,1.835386338,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2000,NA,2.559,2.622,0.0413,0.015751335,38.01,443.76,36.67,34.47,20.13,1.821659215,NA
R3,Waddell Canal,cap,waddell canal,2000,NA,2.568,2.7,0.0433,0.016037037,36.96,440.77,35.56,34.07,19.93,1.784244857,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,NA,1.035,1.121,0.0349,0.031132917,48.4,448.07,47.81,45.09,28.89,1.654897889,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2000,NA,1.492,1.454,0.0343,0.023590096,33.98,448.1,33.4,31.9,19.19,1.740489838,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2000,NA,1.326,1.222,0.0349,0.028559738,39,448.38,38.75,36.93,22.09,1.754187415,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,NA,1.336,1.291,0.0374,0.028969791,40.96,445.03,40.61,38.49,22.84,1.778021016,NA
field_blank,field blank,NA,NA,2000,field blank,NA,0.09,0.0018,0.02,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,NA,2.498,2.753,0.0472,0.017144933,42.37,440.07,41.77,39.51,23.33,1.790398628,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,2.298,2.475,0.0255,0.01030303,19.63,440.76,18.44,17.06,9.12,2.021929825,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,NA,2.728,2.558,0.05,0.019546521,43.37,441.19,43.02,40.69,23.91,1.799247177,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,2.518,2.26,0.035,0.015486726,38.27,448.09,37.97,35.21,20.32,1.868602362,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,NA,3.005,2.384,0.0437,0.018330537,43.78,445.58,42.75,40.9,24.41,1.751331422,NA
