"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-08-16",NA,NA,0.5518,0.448,39.22,15.932,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-08-16",NA,NA,0.2018,0.1731,9.456,2.646,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-08-16",NA,NA,0.2702,0.3258,31.58,22.92,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-08-16",NA,NA,0.2816,0.2858,34.34,22.16,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-08-17",NA,NA,0.2074,0.2026,24.26,17.26,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-08-17",NA,NA,0.3538,0.3522,1.468,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-08-17",NA,NA,0.1993,0.2122,27.96,33.6,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-08-17",NA,NA,0.254,0.2246,19.464,18.876,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-08-17",NA,NA,0.2694,0.2406,22.74,7.776,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-08-17",NA,NA,0.2352,0.2366,28.46,15.764,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-08-17",NA,NA,0.2678,0.2134,12.82,0,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-08-17",NA,NA,0.346,0.2664,42.42,25.6,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-08-18","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-08-18","lab blank",NA,-0.00357,NA,0.44,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-08-18",NA,NA,0.301,0.2664,4.074,7.018,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-08-18",NA,NA,0.2468,0.2254,9.542,11.476,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-08-18",NA,NA,0.2908,0.2336,16.606,33.26,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-08-18",NA,NA,0.2314,0.2432,5.504,1.804,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-08-18",NA,NA,0.3164,0.3362,2.056,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-08-18",NA,NA,0.3898,0.3786,9.456,3.066,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-08-18",NA,NA,0.3448,0.3482,5.588,0,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-08-25",NA,NA,0.168,0.1096,15.596,6.262,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-09-14",NA,NA,0.5074,0.3716,43.02,26.94,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-09-14",NA,NA,0.2296,0.2072,6.436,1.888,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-09-14",NA,NA,0.3748,0.3426,30.32,42.08,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-09-14",NA,NA,0.396,0.3626,40.24,30.22,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-09-15","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-09-15","lab blank",NA,0.036,NA,0.44,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-09-15",NA,NA,0.2076,0.2114,25.6,12.904,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-09-15",NA,NA,0.3394,0.3342,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-09-15",NA,NA,0.3016,0.2014,28.04,9.878,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-09-15",NA,NA,0.2726,0.2148,15.848,19.38,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-09-15",NA,NA,0.2902,0.238,14.418,5.588,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-09-15",NA,NA,0.3344,0.2812,17.866,16.774,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-09-15",NA,NA,0.3106,0.2834,6.01,0,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-09-15",NA,NA,0.4452,0.3108,13.914,2.392,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-09-16",NA,NA,0.2624,0.2332,0,10.046,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-09-16",NA,NA,0.2872,0.2504,32.34,15.176,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-09-16",NA,NA,0.3268,0.226,29.48,4.832,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-09-16",NA,NA,0.3184,0.2618,15.428,10.634,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-09-16",NA,NA,0.3226,0.3146,39.74,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-09-16",NA,NA,0.3664,0.3346,9.626,8.952,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-09-16",NA,NA,0.3424,0.322,0,3.486,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-09-29",NA,NA,0.631,0.38,154,28.2,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-10-12",NA,NA,0.3184,0.2786,0,0,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-10-12",NA,NA,0.3328,0.2838,3.214,0,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-10-12",NA,NA,0.3372,0.2548,9.394,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-10-12",NA,NA,0.3248,0.275,6.504,0,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-10-12",NA,NA,0.2754,0.251,0,0,NA,NA,NA
"DV-WR","Deer Valley WTP wash return",NA,NA,"1999-10-13","extra sample",NA,2.484,0.421,0,0,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-10-13","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-10-13","lab blank",NA,0.0257,NA,1.58,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-10-13",NA,NA,0.2814,0.2732,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-10-13",NA,NA,0.3138,0.2532,44,22.22,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-10-13",NA,NA,0.3284,0.2346,28.92,8.996,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-10-13",NA,NA,0.3702,0.268,48.56,10.176,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-10-13",NA,NA,0.3924,0.3426,28.84,5.74,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-10-13",NA,NA,0.2746,0.2282,16.784,5.228,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP-WR","Squaw Peak WTP wash return",NA,NA,"1999-10-13","extra sample",NA,2.008,0.2562,0,0,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-10-14",NA,NA,0.2786,0.256,20.1,13.732,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-10-14",NA,NA,0.4408,0.3184,53.74,20.58,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-10-14",NA,NA,0.3202,0.2298,27.46,4.678,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-10-14",NA,NA,0.2854,0.2256,15.394,2.466,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-10-14",NA,NA,0.4098,0.3314,40.08,22.98,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-10-14",NA,NA,0.2664,0.2256,23.14,13.544,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-10-14",NA,NA,0.2756,0.2334,9.656,6.2,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-10-14",NA,NA,0.3578,0.284,17.576,10.276,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-10-30",NA,NA,0.2,0.188,29.26,4.72,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-11-15",NA,NA,0.354,0.287,13.45,10.84,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-11-15",NA,NA,0.44,0.408,40.28,32.42,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-11-15",NA,NA,0.292,0.292,31.76,14.91,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-11-15",NA,NA,0.366,0.28,44.2,14.5,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-11-15",NA,NA,0.342,0.362,25.92,19.63,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-11-15",NA,NA,0.345,0.336,18.37,9.85,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-11-15",NA,NA,0.318,0.27,19.78,9.64,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-11-16",NA,NA,0.45,0.364,15.1,3.38,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-11-16",NA,NA,0.286,0.273,8.12,5.11,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-11-16",NA,NA,0.348,0.292,12.77,8.22,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-11-16",NA,NA,0.426,0.372,6.4,3.02,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-11-16",NA,NA,0.36,0.292,34.54,10.48,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-11-16",NA,NA,0.348,0.318,34.64,19.66,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-11-16",NA,NA,0.366,0.276,62.58,15.98,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-11-16",NA,NA,0.366,0.338,32.14,12.79,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-11-17","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-11-17","lab blank",NA,0.0525,NA,1.69,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-11-17",NA,NA,0.316,0.285,33.12,15.82,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-11-17",NA,NA,0.466,0.335,50.64,18.01,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17",NA,"south canal shut-down",NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-11-17",NA,NA,0.422,0.365,7.1,2.74,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-11-30",NA,NA,0.08,0.08,5.8,4.4,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-12-14",NA,"sample preservation error",NA,NA,6.6,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-12-14",NA,"sample preservation error",NA,NA,20,12.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-12-14",NA,"sample preservation error",NA,NA,31.1,13.3,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-12-14",NA,"sample preservation error",NA,NA,27.8,11.8,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-12-14",NA,"sample preservation error",NA,NA,24.2,22.6,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-12-14",NA,"sample preservation error",NA,NA,72.6,13.4,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-12-14",NA,"sample preservation error",NA,NA,0,10.7,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-12-15",NA,"sample preservation error",NA,NA,5.3,3.6,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-12-15",NA,NA,0.28,0.26,6.6,5.7,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-12-15",NA,NA,0.28,0.28,8.8,5.8,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-12-15",NA,"sample preservation error",NA,NA,5.2,4.1,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-12-15",NA,NA,0.23,0.12,31.3,7.1,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-12-15",NA,NA,0.31,0.24,32.6,19.2,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-12-15",NA,"sample preservation error",NA,NA,160.6,17,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-12-15",NA,NA,0.35,0.26,36,15,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-12-16","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-12-16","lab blank",NA,0.0053,NA,2.7,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-12-16",NA,NA,0.42,0.4,21,10.2,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-12-16",NA,"sample preservation error",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-12-16",NA,NA,0.31,0.43,14,9,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-12-16",NA,"sample preservation error",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-12-16",NA,"south canal shut down",NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-12-16",NA,"val vista wtp shut down",NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-12-16",NA,NA,0.39,0.38,5.5,3.3,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-12-30",NA,"no sample taken",NA,NA,NA,NA,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-01-11","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-01-11","lab blank",NA,0.0025,NA,4.15,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-01-11",NA,NA,0.113,0.106,0,0,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-01-11",NA,NA,0.366,0.354,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-01-11",NA,"sample taken on south canal",0.155,0.109,12.29,1.41,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-01-11",NA,"az canal shut down",NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-01-11",NA,"az canal shut down",NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-01-11",NA,"az canal shut down",NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-01-11",NA,NA,0.207,0.156,8.42,0,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-01-11",NA,NA,0.526,0.23,15.33,14.77,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-01-11",NA,NA,0.241,0.22,6.54,3.75,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-01-11",NA,NA,0.233,0.222,5.83,3.06,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-01-12",NA,NA,0.398,0.38,12.24,0,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-01-12",NA,NA,0.274,0.225,13.01,0,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-01-12",NA,NA,0.309,0.288,10,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-01-12",NA,NA,0.395,0.362,12.56,0,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-01-12",NA,NA,0.374,0.362,3.31,0,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-01-12",NA,NA,0.105,0.053,14.22,0,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-01-12",NA,NA,0.231,0.197,10.14,5.49,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-01-12",NA,NA,0.206,0.136,22.92,4.11,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-01-12",NA,NA,0.205,0.149,12.42,3.86,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-01-30",NA,NA,0.112,0.042,3.2,3,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-02-14",NA,NA,0.166,0.142,6.4,4,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-02-14",NA,NA,0.416,0.378,3.2,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-02-14",NA,NA,0.156,0.13,15.8,9.4,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-02-14",NA,NA,0.342,0.27,13,0,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-02-14",NA,NA,0.236,0.206,23.4,16.1,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-02-14",NA,NA,0.248,0.196,8,4.2,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-02-14",NA,NA,0.26,0.202,17.8,6.4,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-02-15",NA,NA,0.406,0.352,7.4,2.4,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-02-15",NA,NA,0.34,0.326,5.2,2.8,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-02-15",NA,NA,0.29,0.298,1.2,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-02-15",NA,NA,0.406,0.392,3,0,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-02-15",NA,NA,0.406,0.372,7.2,0,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-02-15",NA,NA,0.37,0.2,91.4,16.6,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-02-15",NA,NA,0.18,0.152,15.8,4,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-02-15",NA,NA,0.21,0.14,20,5.6,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-02-15",NA,NA,0.244,0.202,26.6,10.6,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-02-16","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-02-16","lab blank",NA,0.002,NA,1.35,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-02-16",NA,NA,0.324,0.224,29.2,5.2,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-02-16",NA,NA,0.184,0.196,7.2,5.2,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-02-16",NA,NA,0.412,0.292,22,0.8,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-02-16",NA,NA,0.284,0.268,0.2,0.2,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-03-09",NA,NA,0.188,0.176,15.2,7.2,NA,NA,NA
"field_blank","field blank",NA,"field blank","2000-03-15","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-03-15","lab blank",NA,0.039,NA,2.65,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-03-15",NA,NA,0.5,0.414,30.8,4.2,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-03-15",NA,NA,0.442,0.404,11.8,4.6,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-03-15",NA,NA,0.366,0.368,4.2,0.2,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-03-16",NA,NA,0.408,0.378,1.4,1,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-03-16",NA,NA,0.326,0.3,6,3.8,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-03-16",NA,NA,0.312,0.286,2.8,1.4,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-03-16",NA,NA,0.448,0.41,1.8,0.6,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-03-16",NA,NA,0.428,0.398,4,0.4,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-03-16","field duplicate",NA,0.392,0.38,3.2,0,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-03-16",NA,NA,0.36,0.146,101,9.8,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-03-16",NA,NA,0.19,0.132,27,5.2,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-03-16",NA,NA,0.298,0.248,43.8,16.2,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-03-16",NA,NA,0.274,0.146,34.8,8.4,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-03-17",NA,NA,0.212,0.184,10.2,5.6,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-03-17",NA,NA,0.46,0.37,7.2,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-03-17",NA,NA,0.258,0.152,40,7.4,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-03-17",NA,NA,0.334,0.258,27,3.2,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-03-17",NA,NA,0.214,0.196,19.6,16,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-03-17",NA,NA,0.246,0.198,8.2,4,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-03-17",NA,NA,0.482,0.22,85.6,14.6,NA,NA,NA
"R9Bturbid","Saguaro Lake near inlet","salt","saguaro-hypo","2000-03-17","extra sample","sample taken at turbid layer - 40 m",1.828,0.268,447.6,43,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-03-30",NA,NA,0.146,0.116,12,0,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-04-13",NA,NA,0.44,0.412,2.8,0,NA,NA,NA
