"Site Number","Site location","Cluster","Site Acronym","Arsenic (ug/L)","Perchlorate (ug/L)","date"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",4.1,NA,"2006-07-11"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",0,NA,"2006-07-11"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",4.5,NA,"2006-07-11"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",0,NA,"2006-07-11"
"R20","Tangle Creek","verde","verde abv horseshoe",19.4,NA,"2006-07-11"
"R21","Steele Indian School Park","srp","az canal @ central ave.",5,NA,"2006-07-11"
"R22","Arizona Falls","srp","az canal @ 56th st.",4.6,NA,"2006-07-11"
"R25","verde river at beeline highway","verde","verde @ beeline",NA,NA,"2006-07-11"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,"2006-07-11"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.6,NA,"2006-07-11"
"R3","Waddell Canal","cap","waddell canal",3.3,NA,"2006-07-11"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",12.5,NA,"2006-07-11"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",4.2,NA,"2006-07-11"
"R9A","Saguaro Lake","salt","saguaro-epi",4.1,NA,"2006-07-11"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.1,NA,"2006-07-11"
"R9B","Saguaro Lake","salt","saguaro-hypo",7.4,NA,"2006-07-11"
"SOCA","park of the canals","srp","South canal below CAP",4.9,NA,"2006-07-11"
"SPT In","South Tempe Water Plant","tempe","STP In",5.1,NA,"2006-07-11"
"SPT Out","South Tempe Water Plant","tempe","STP Out",3.1,NA,"2006-07-11"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3,NA,"2006-07-11"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2006-07-11"
"Green In","Greenway Water Treatment Plant","srp","Green In",6.2,NA,"2006-08-14"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",0,NA,"2006-08-14"
"Havasu 1","Lake havasu",NA,"Havasu 1",2.3,NA,"2006-08-14"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2006-08-14"
"HTC","Tempe Canal","tempe","head of tempe canal",4.7,NA,"2006-08-14"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",4.8,NA,"2006-08-14"
"NP In","tempe canal","tempe","North plant inlet",5,NA,"2006-08-14"
"NP Out","Tempe Canal","tempe","north plant outlet",0,NA,"2006-08-14"
"Pima","Arizona Canal","srp","az canal @ pima",5.3,NA,"2006-08-14"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5,NA,"2006-08-14"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",NA,NA,"2006-08-14"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.4,NA,"2006-08-14"
"R13","Steele Indian School Park","srp","az canal blw cap",4.6,NA,"2006-08-14"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",4.4,NA,"2006-08-14"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",0,NA,"2006-08-14"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",5.3,NA,"2006-08-14"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",0,NA,"2006-08-14"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",4.3,NA,"2006-08-14"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",0,NA,"2006-08-14"
"R20","Tangle Creek","verde","verde abv horseshoe",20.1,NA,"2006-08-14"
"R21","Steele Indian School Park","srp","az canal @ central ave.",5.2,NA,"2006-08-14"
"R22","Arizona Falls","srp","az canal @ 56th st.",4.7,NA,"2006-08-14"
"R25","verde river at beeline highway","verde","verde @ beeline",9.4,NA,"2006-08-14"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.5,NA,"2006-08-14"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4.5,NA,"2006-08-14"
"R3","Waddell Canal","cap","waddell canal",3.4,NA,"2006-08-14"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",16.2,NA,"2006-08-14"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",10.6,NA,"2006-08-14"
"R9A","Saguaro Lake","salt","saguaro-epi",5.1,NA,"2006-08-14"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",5.1,NA,"2006-08-14"
"R9B","Saguaro Lake","salt","saguaro-hypo",4,NA,"2006-08-14"
"SOCA","park of the canals","srp","South canal below CAP",5.3,NA,"2006-08-14"
"SPT In","South Tempe Water Plant","tempe","STP In",3.7,NA,"2006-08-14"
"SPT Out","South Tempe Water Plant","tempe","STP Out",0,NA,"2006-08-14"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.5,NA,"2006-08-14"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2006-08-14"
"Green In","Greenway Water Treatment Plant","srp","Green In",5.1,NA,"2006-09-12"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",NA,NA,"2006-09-12"
"Havasu 1","Lake havasu",NA,"Havasu 1",0,NA,"2006-09-12"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2006-09-12"
"HTC","Tempe Canal","tempe","head of tempe canal",4.6,NA,"2006-09-12"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",4.8,NA,"2006-09-12"
"NP In","tempe canal","tempe","North plant inlet",4.1,NA,"2006-09-12"
"NP Out","Tempe Canal","tempe","north plant outlet",0,NA,"2006-09-12"
"Pima","Arizona Canal","srp","az canal @ pima",4.3,NA,"2006-09-12"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.6,NA,"2006-09-12"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",0,NA,"2006-09-12"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.4,NA,"2006-09-12"
"R13","Steele Indian School Park","srp","az canal blw cap",3.7,NA,"2006-09-12"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",4.1,NA,"2006-09-12"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",0,NA,"2006-09-12"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",4,NA,"2006-09-12"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",0,NA,"2006-09-12"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",4.7,NA,"2006-09-12"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",0,NA,"2006-09-12"
"R20","Tangle Creek","verde","verde abv horseshoe",19.8,NA,"2006-09-12"
"R21","Steele Indian School Park","srp","az canal @ central ave.",4.1,NA,"2006-09-12"
"R22","Arizona Falls","srp","az canal @ 56th st.",4.8,NA,"2006-09-12"
"R25","verde river at beeline highway","verde","verde @ beeline",9.2,NA,"2006-09-12"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,"2006-09-12"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.6,NA,"2006-09-12"
"R3","Waddell Canal","cap","waddell canal",0,NA,"2006-09-12"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",15.5,NA,"2006-09-12"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",10.8,NA,"2006-09-12"
"R9A","Saguaro Lake","salt","saguaro-epi",4.5,NA,"2006-09-12"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.5,NA,"2006-09-12"
"R9B","Saguaro Lake","salt","saguaro-hypo",4.6,NA,"2006-09-12"
"SOCA","park of the canals","srp","South canal below CAP",0,NA,"2006-09-12"
"SPT In","South Tempe Water Plant","tempe","STP In",5,NA,"2006-09-12"
"SPT Out","South Tempe Water Plant","tempe","STP Out",0,NA,"2006-09-12"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2,NA,"2006-09-12"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2006-09-12"
"Green In","Greenway Water Treatment Plant","srp","Green In",5.1,NA,"2006-10-10"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",NA,NA,"2006-10-10"
"Havasu 1","Lake havasu",NA,"Havasu 1",NA,NA,"2006-10-10"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2006-10-10"
"HTC","Tempe Canal","tempe","head of tempe canal",NA,NA,"2006-10-10"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",4.7,NA,"2006-10-10"
"NP In","tempe canal","tempe","North plant inlet",5.2,NA,"2006-10-10"
"NP Out","Tempe Canal","tempe","north plant outlet",NA,NA,"2006-10-10"
"Pima","Arizona Canal","srp","az canal @ pima",NA,NA,"2006-10-10"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5.5,NA,"2006-10-10"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",2,NA,"2006-10-10"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,"2006-10-10"
"R13","Steele Indian School Park","srp","az canal blw cap",4.3,NA,"2006-10-10"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",5,NA,"2006-10-10"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",NA,NA,"2006-10-10"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",3.5,NA,"2006-10-10"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",NA,NA,"2006-10-10"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",6.1,NA,"2006-10-10"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",NA,NA,"2006-10-10"
"R20","Tangle Creek","verde","verde abv horseshoe",20.5,NA,"2006-10-10"
"R21","Steele Indian School Park","srp","az canal @ central ave.",5.3,NA,"2006-10-10"
"R22","Arizona Falls","srp","az canal @ 56th st.",6,NA,"2006-10-10"
"R25","verde river at beeline highway","verde","verde @ beeline",9.9,NA,"2006-10-10"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,"2006-10-10"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,"2006-10-10"
"R3","Waddell Canal","cap","waddell canal",NA,NA,"2006-10-10"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",5.2,NA,"2006-10-10"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",15.9,NA,"2006-10-10"
"R9A","Saguaro Lake","salt","saguaro-epi",4.8,NA,"2006-10-10"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.8,NA,"2006-10-10"
"R9B","Saguaro Lake","salt","saguaro-hypo",4.8,NA,"2006-10-10"
"SOCA","park of the canals","srp","South canal below CAP",6.3,NA,"2006-10-10"
"SPT In","South Tempe Water Plant","tempe","STP In",6.6,NA,"2006-10-10"
"SPT Out","South Tempe Water Plant","tempe","STP Out",3.7,NA,"2006-10-10"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.1,NA,"2006-10-10"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",NA,NA,"2006-10-10"
"Green In","Greenway Water Treatment Plant","srp","Green In",11.2,NA,"2006-11-14"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",8.6,NA,"2006-11-14"
"Havasu 1","Lake havasu",NA,"Havasu 1",NA,NA,"2006-11-14"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2006-11-14"
"HTC","Tempe Canal","tempe","head of tempe canal",14.2,NA,"2006-11-14"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",10.9,NA,"2006-11-14"
"NP In","tempe canal","tempe","North plant inlet",12.1,NA,"2006-11-14"
"NP Out","Tempe Canal","tempe","north plant outlet",6.2,NA,"2006-11-14"
"Pima","Arizona Canal","srp","az canal @ pima",12.5,NA,"2006-11-14"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.9,NA,"2006-11-14"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",NA,NA,"2006-11-14"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",4.6,NA,"2006-11-14"
"R13","Steele Indian School Park","srp","az canal blw cap",8.1,NA,"2006-11-14"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",12.5,NA,"2006-11-14"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",NA,NA,"2006-11-14"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",11.8,NA,"2006-11-14"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",2.2,NA,"2006-11-14"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",14.2,NA,"2006-11-14"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",2.7,NA,"2006-11-14"
"R20","Tangle Creek","verde","verde abv horseshoe",16.5,NA,"2006-11-14"
"R21","Steele Indian School Park","srp","az canal @ central ave.",9.4,NA,"2006-11-14"
"R22","Arizona Falls","srp","az canal @ 56th st.",12.9,NA,"2006-11-14"
"R25","verde river at beeline highway","verde","verde @ beeline",12.5,NA,"2006-11-14"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,"2006-11-14"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.9,NA,"2006-11-14"
"R3","Waddell Canal","cap","waddell canal",3.1,NA,"2006-11-14"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",16.3,NA,"2006-11-14"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",16.1,NA,"2006-11-14"
"R9A","Saguaro Lake","salt","saguaro-epi",4.8,NA,"2006-11-14"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.6,NA,"2006-11-14"
"R9B","Saguaro Lake","salt","saguaro-hypo",4.4,NA,"2006-11-14"
"SOCA","park of the canals","srp","South canal below CAP",13.6,NA,"2006-11-14"
"SPT In","South Tempe Water Plant","tempe","STP In",NA,NA,"2006-11-14"
"SPT Out","South Tempe Water Plant","tempe","STP Out",NA,NA,"2006-11-14"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",NA,NA,"2006-11-14"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",NA,NA,"2006-11-14"
"Green In","Greenway Water Treatment Plant","srp","Green In",NA,NA,"2006-12-05"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",NA,NA,"2006-12-05"
"Havasu 1","Lake havasu",NA,"Havasu 1",0,NA,"2006-12-05"
